,index,route_id,status,timestamp,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,route_length,ego_vehicle,carla_version,scenario,completion_score,driving_score,infraction_penalty,npc_vehicles,pedestrians,simulation_time,system_time,infraction_name
57,26,RouteScenario_26,Completed,route_26_route0_02_08_20_41_20,0,0,0,0,0,0,0,0,0,55.19927747263407,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,18.650000277906656,140.96434116363525,none
58,9,RouteScenario_9,Completed,route_9_route0_02_09_00_35_34,0,0,0,0,0,0,0,0,0,56.094386897300026,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,27.85000041499734,219.7725329399109,none
59,0,RouteScenario_0,Completed,route_0_route0_02_08_17_58_34,0,0,0,0,0,0,0,0,0,61.06920292504007,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,40.600000604987144,319.14836525917053,none
60,40,RouteScenario_40,Completed,route_40_route0_02_09_01_46_52,0,0,0,0,0,0,0,0,0,82.60001775936934,vehicle.bmw.isetta,10,7,100.0,100.0,1.0,120,0,22.350000333040953,173.32387566566467,none
61,27,RouteScenario_27,Completed,route_27_route0_02_09_01_30_07,0,0,0,0,0,0,0,0,0,83.11998033178662,vehicle.bmw.isetta,10,7,100.0,100.0,1.0,120,0,25.55000038072467,183.82021474838257,none
62,43,RouteScenario_43,Completed,route_43_route0_02_09_02_04_50,0,0,0,0,0,0,0,0,0,83.51000974305987,vehicle.bmw.isetta,10,7,100.0,100.0,1.0,120,0,28.550000425428152,223.3520474433899,none
63,1,RouteScenario_1,Completed,route_1_route0_02_09_01_04_33,0,0,0,0,0,0,0,0,0,82.18000091524995,vehicle.bmw.isetta,10,7,100.0,100.0,1.0,120,0,21.1000003144145,151.19604468345642,none
64,22,RouteScenario_22,Completed,route_22_route0_02_09_01_09_32,0,0,0,0,0,0,0,0,0,82.0000009476335,vehicle.bmw.isetta,10,7,100.0,100.0,1.0,120,0,32.050000477582216,247.7229344844818,none
65,65,RouteScenario_65,Completed,route_65_route0_02_09_02_44_25,0,0,0,0,0,0,0,0,0,82.60999853125792,vehicle.bmw.isetta,10,7,100.0,100.0,1.0,120,0,20.950000312179327,132.85599160194397,none
66,64,RouteScenario_64,Completed,route_64_route0_02_09_02_37_56,0,0,0,0,0,0,0,0,0,82.61000234595448,vehicle.bmw.isetta,10,7,100.0,100.0,1.0,120,0,26.350000392645597,236.70509934425354,none
67,33,RouteScenario_33,Completed,route_33_route0_02_09_01_40_16,0,0,0,0,0,0,0,0,0,81.97915120561767,vehicle.bmw.isetta,10,7,100.0,100.0,1.0,120,0,25.50000037997961,203.0431981086731,none
68,7,RouteScenario_7,Completed,route_7_route0_02_09_03_13_12,0,0,0,0,0,0,0,0,0,81.99999331823905,vehicle.bmw.isetta,10,7,100.0,100.0,1.0,120,0,50.30000074952841,430.3998899459839,none
69,56,RouteScenario_56,Completed,route_56_route0_02_09_02_24_19,0,0,0,0,0,0,0,0,0,83.31085709977604,vehicle.bmw.isetta,10,7,100.0,100.0,1.0,120,0,22.100000329315662,143.67589616775513,none
70,17,RouteScenario_17,Completed,route_17_route0_02_09_00_55_25,0,0,0,0,0,0,0,0,0,83.089996226047,vehicle.bmw.isetta,10,7,100.0,100.0,1.0,120,0,36.15000053867698,379.4529764652252,none
71,6,RouteScenario_6,Completed,route_6_route0_02_09_03_07_18,0,0,0,0,0,0,0,0,0,81.99999331823905,vehicle.bmw.isetta,10,7,100.0,100.0,1.0,120,0,23.650000352412462,161.91109228134155,none
72,57,RouteScenario_57,Completed,route_57_route0_02_09_02_30_37,0,0,0,0,0,0,0,0,0,83.30912522726364,vehicle.bmw.isetta,10,7,100.0,100.0,1.0,120,0,21.250000316649675,208.908052444458,none
73,16,RouteScenario_16,Completed,route_16_route0_02_09_00_48_01,0,0,0,0,0,0,0,0,0,83.089996226047,vehicle.bmw.isetta,10,7,100.0,100.0,1.0,120,0,22.70000033825636,153.70951795578003,none
74,23,RouteScenario_23,Completed,route_23_route0_02_09_01_16_53,0,0,0,0,0,0,0,0,0,82.0000009476335,vehicle.bmw.isetta,10,7,100.0,100.0,1.0,120,0,24.2000003606081,186.96418929100037,none
75,42,RouteScenario_42,Completed,route_42_route0_02_09_01_59_43,0,0,0,0,0,0,0,0,0,83.51000974305987,vehicle.bmw.isetta,10,7,100.0,100.0,1.0,120,0,20.40000030398369,160.92419838905334,none
76,69,RouteScenario_69,Completed,route_69_route0_02_09_02_56_52,0,0,0,0,0,0,0,0,0,82.00000476233072,vehicle.bmw.isetta,10,7,100.0,100.0,1.0,120,0,34.35000051185489,347.8843674659729,none
77,53,RouteScenario_53,Failed,route_53_route0_02_09_02_18_20,0,0,1,0,0,0,0,0,0,82.00997924804688,vehicle.bmw.isetta,10,7,44.75813280268401,26.854879681610406,0.6,120,0,28.300000421702862,212.8457305431366,collisions_vehicle
78,41,RouteScenario_41,Completed,route_41_route0_02_09_01_52_24,0,0,0,0,0,0,0,0,0,82.6000177588627,vehicle.bmw.isetta,10,7,100.0,100.0,1.0,120,0,23.550000350922346,149.29971551895142,none
79,32,RouteScenario_32,Completed,route_32_route0_02_09_01_36_03,0,0,0,0,0,0,0,0,0,81.98086781925831,vehicle.bmw.isetta,10,7,100.0,100.0,1.0,120,0,22.000000327825546,157.28810787200928,none
