,index,route_id,status,timestamp,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,scenario,route_length,ego_vehicle,carla_version,completion_score,driving_score,infraction_penalty,npc_vehicles,pedestrians,simulation_time,system_time,infraction_name
71,6,RouteScenario_7_6,Completed,route_6_route0_01_20_05_41_31,0,0,0,0.0,0,0,0,0,0,7,81.99999331823905,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,32.00000047683716,205.51218056678772,none
72,57,RouteScenario_7_57,Completed,route_57_route0_01_20_05_34_04,0,0,0,0.0,0,0,0,0,0,7,83.30912522726364,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,30.70000045746565,196.24640130996704,none
73,16,RouteScenario_7_16,Completed,route_16_route0_01_20_03_19_25,0,0,0,0.0,0,0,0,0,0,7,83.089996226047,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,32.15000047907233,193.11563682556152,none
74,23,RouteScenario_7_23,Completed,route_23_route0_01_20_03_49_38,0,0,0,0.0,0,0,0,0,0,7,82.0000009476335,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,98.30000146478415,616.9428749084473,none
75,42,RouteScenario_7_42,Completed,route_42_route0_01_20_04_47_59,0,0,0,0.0,0,0,0,0,0,7,83.51000974305987,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,24.350000362843275,154.9573414325714,none
76,69,RouteScenario_7_69,Completed,route_69_route0_01_20_06_24_09,0,0,0,0.0,0,0,0,0,0,7,82.00000476233072,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,24.650000367313623,186.64363384246826,none
77,53,RouteScenario_7_53,Completed,route_53_route0_01_20_05_09_05,0,0,0,0.0,0,0,0,0,0,7,82.00997924804688,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,122.75000182911754,925.2924966812134,none
78,41,RouteScenario_7_41,Completed,route_41_route0_01_20_04_41_25,0,0,0,0.0,0,0,0,0,0,7,82.6000177588627,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,23.45000034943223,124.11647963523865,none
79,32,RouteScenario_7_32,Completed,route_32_route0_01_20_04_21_13,0,0,0,0.0,0,0,0,0,0,7,81.98086781925831,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,25.00000037252903,174.79849767684937,none
80,52,RouteScenario_7_52,Completed,route_52_route0_01_20_05_03_03,0,0,0,0.0,0,0,0,0,0,7,82.00997924804688,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,27.150000404566526,148.52149367332458,none
81,26,RouteScenario_7_26,Completed,route_26_route0_01_20_04_08_29,0,0,0,0.0,0,0,0,0,0,7,83.11998033178662,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,35.10000052303076,199.81642508506775,none
82,68,RouteScenario_7_68,Completed,route_68_route0_01_20_06_09_35,0,0,0,0.0,0,0,0,0,0,7,82.0000009476335,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,106.75000159069896,645.7653052806854,none
83,0,RouteScenario_7_0,Completed,route_0_route0_01_20_02_55_55,0,0,0,0.0,0,0,0,0,0,7,82.18000091524995,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,24.25000036135316,174.97669553756714,none
84,44,RouteScenario_8_44,Completed,route_44_route0_01_20_09_12_22,0,0,0,16.94,0,0,0,0,0,8,61.26539929186665,vehicle.bmw.isetta,10,100.0,83.06260584664335,0.8306260584664336,120,0,32.95000049099326,196.52886080741882,none
85,15,RouteScenario_8_15,Failed - Agent timed out,route_15_route0_01_20_07_04_05,0,0,0,48.46,0,0,1,0,0,8,60.901017691577785,vehicle.bmw.isetta,10,75.2800349463301,38.79671042684709,0.5153652021350241,120,0,328.05000488832593,2088.9874861240387,none
86,58,RouteScenario_8_58,Completed,route_58_route0_01_20_09_50_25,0,0,0,0.0,0,0,0,0,0,8,61.94757622419835,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,76.40000113844872,485.31824350357056,none
87,24,RouteScenario_8_24,Failed,route_24_route0_01_20_08_11_17,1,0,0,0.0,0,0,0,0,0,8,60.91089740578979,vehicle.bmw.isetta,10,43.91024759555531,28.541660937110954,0.65,120,0,22.300000332295895,140.02042198181152,collisions_layout
88,49,RouteScenario_8_49,Completed,route_49_route0_01_20_09_25_22,0,0,0,0.0,0,0,0,0,0,8,60.92802203945554,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,26.900000400841236,161.9141218662262,none
89,12,RouteScenario_8_12,Completed,route_12_route0_01_20_06_57_48,0,0,0,0.0,0,0,0,0,0,8,61.75131111908178,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,23.650000352412462,163.18358397483826,none
90,2,RouteScenario_8_2,Completed,route_2_route0_01_20_07_52_38,0,0,0,0.0,0,0,0,0,0,8,61.06920292504007,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,64.2500009573996,371.88785433769226,none
91,45,RouteScenario_8_45,Completed,route_45_route0_01_20_09_19_00,0,0,0,0.0,0,0,0,0,0,8,61.58523811688995,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,23.95000035688281,163.70869398117065,none
92,28,RouteScenario_8_28,Completed,route_28_route0_01_20_08_21_53,0,0,0,0.0,0,0,0,0,0,8,61.59830038671384,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,61.55000091716647,412.21114206314087,none
93,30,RouteScenario_8_30,Completed,route_30_route0_01_20_08_32_04,0,0,0,0.0,0,0,0,0,0,8,61.16392023319401,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,29.10000043362379,173.30579829216003,none
94,18,RouteScenario_8_18,Completed,route_18_route0_01_20_07_42_19,0,0,0,0.0,0,0,0,0,0,8,60.69758307301105,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,23.500000350177288,161.51444792747498,none
95,34,RouteScenario_8_34,Completed,route_34_route0_01_20_08_38_52,0,0,0,0.0,0,0,0,0,0,8,60.83781726315381,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,25.850000385195017,195.19437289237976,none
96,11,RouteScenario_8_11,Completed,route_11_route0_01_20_06_51_03,0,0,0,0.0,0,0,0,0,0,8,60.41447692826555,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,32.5500004850328,201.19186639785767,none
