,level_0,index,route_id,status,timestamp,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,scenario,route_length,ego_vehicle,carla_version,completion_score,driving_score,infraction_penalty,npc_vehicles,pedestrians,simulation_time,system_time,infraction_name
136,135,4,RouteScenario_1_4,Completed,route_4_route0_02_08_14_43_49,0,0,0,0,0,0,0,0,0,1,334.39002329383925,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,68.5500010214746,476.0757896900177,none
137,133,5,RouteScenario_1_5,Completed,route_5_route0_02_08_15_16_01,0,0,0,0,0,0,0,0,0,1,326.46289454712144,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,148.5500022135675,960.7724034786224,none
138,143,0,RouteScenario_3_0,Completed,route_0_route0_02_08_15_49_27,0,0,0,0,0,0,0,0,0,3,316.4820829944565,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,70.4500010497868,532.7882599830627,none
139,138,1,RouteScenario_3_1,Completed,route_1_route0_02_08_16_06_46,0,0,0,0,0,0,0,0,0,3,83.59873826094632,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,41.05000061169267,485.5242428779602,none
140,140,2,RouteScenario_3_2,Completed,route_2_route0_02_08_16_25_03,0,0,0,0,0,0,0,0,0,3,310.51499937633105,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,71.20000106096268,468.2839334011078,none
141,142,3,RouteScenario_3_3,Completed,route_3_route0_02_08_16_42_36,0,0,0,0,0,0,0,0,0,3,78.99352533935645,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,47.75000071153045,512.8642649650574,none
142,141,4,RouteScenario_3_4,Completed,route_4_route0_02_08_16_57_17,0,0,0,0,0,0,0,0,0,3,334.39002329383925,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,81.20000120997429,635.5879678726196,none
143,139,5,RouteScenario_3_5,Completed,route_5_route0_02_08_17_16_18,0,0,0,0,0,0,0,0,0,3,326.46289454712144,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,138.70000206679106,1359.92427611351,none
144,191,0,RouteScenario_4_0,Completed,route_0_route0_02_08_17_48_08,0,0,0,0,0,0,0,0,0,4,61.06920292504007,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,61.60000091791153,614.0561544895172,none
145,151,1,RouteScenario_4_1,Completed,route_1_route0_02_08_19_40_16,0,0,0,0,0,0,0,0,0,4,55.41616043336074,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,28.200000420212746,247.5283789634705,none
146,184,10,RouteScenario_4_10,Completed,route_10_route0_02_08_18_04_04,0,0,0,0,0,0,0,0,0,4,55.2446401601069,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,13.40000019967556,98.39631152153017,none
147,171,11,RouteScenario_4_11,Completed,route_11_route0_02_08_18_08_54,0,0,0,0,0,0,0,0,0,4,60.901017691577785,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,42.50000063329935,284.3680946826935,none
148,159,12,RouteScenario_4_12,Completed,route_12_route0_02_08_18_18_05,0,0,0,0,0,0,0,0,0,4,60.69758307301105,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,43.05000064149499,311.544349193573,none
149,172,13,RouteScenario_4_13,Completed,route_13_route0_02_08_18_28_09,0,0,0,0,0,0,0,0,0,4,55.04141645760018,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,49.75000074133277,520.5814137458801,none
150,181,14,RouteScenario_4_14,Completed,route_14_route0_02_08_18_41_06,0,0,0,0,0,0,0,0,0,4,60.95337258060778,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,25.200000375509266,148.1679048538208,none
151,152,15,RouteScenario_4_15,Completed,route_15_route0_02_08_18_49_48,0,0,0,0,0,0,0,0,0,4,55.295861513545525,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,15.800000235438349,127.64024186134338,none
152,175,16,RouteScenario_4_16,Completed,route_16_route0_02_08_18_55_22,0,0,0,0,0,0,0,0,0,4,60.91089740578979,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,37.500000558793545,293.1910593509674,none
153,168,17,RouteScenario_4_17,Completed,route_17_route0_02_08_19_03_55,0,0,0,0,0,0,0,0,0,4,55.25090884695793,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,23.100000344216824,204.56421327590945,none
154,169,18,RouteScenario_4_18,Completed,route_18_route0_02_08_19_17_39,0,0,0,0,0,0,0,0,0,4,61.59830038671384,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,62.20000092685223,593.3043432235718,none
155,160,19,RouteScenario_4_19,Completed,route_19_route0_02_08_19_32_35,0,0,0,0,0,0,0,0,0,4,55.94493792555948,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,27.60000041127205,218.7844479084015,none
156,161,2,RouteScenario_4_2,Completed,route_2_route0_02_08_21_13_23,0,0,0,0,0,0,0,0,0,4,61.09374739316211,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,28.200000420212746,325.66009640693665,none
157,182,20,RouteScenario_4_20,Completed,route_20_route0_02_08_19_49_07,0,0,0,0,0,0,0,0,0,4,61.16392023319401,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,28.10000041872263,194.1283779144287,none
158,185,21,RouteScenario_4_21,Completed,route_21_route0_02_08_19_55_22,0,0,0,0,0,0,0,0,0,4,55.507802941520346,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,13.500000201165676,89.72396397590637,none
159,154,22,RouteScenario_4_22,Completed,route_22_route0_02_08_19_58_58,0,0,0,0,0,0,0,0,0,4,60.83781726315381,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,43.30000064522028,314.5316994190216,none
160,176,23,RouteScenario_4_23,Completed,route_23_route0_02_08_20_09_34,0,0,0,0,0,0,0,0,0,4,55.1791221263788,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,27.450000409036875,151.44805431365967,none
161,156,24,RouteScenario_4_24,Completed,route_24_route0_02_08_20_15_23,0,0,0,0,0,0,0,0,0,4,55.24653262480497,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,24.300000362098217,138.89401745796204,none
162,158,25,RouteScenario_4_25,Completed,route_25_route0_02_08_20_20_29,0,0,0,0,0,0,0,0,0,4,60.90306747539447,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,42.30000063031912,366.1764860153198,none
163,189,26,RouteScenario_4_26,Completed,route_26_route0_02_08_20_33_14,0,0,0,0,0,0,0,0,0,4,55.19927747263407,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,46.8500006981194,474.0926492214203,none
164,148,27,RouteScenario_4_27,Completed,route_27_route0_02_08_20_43_52,0,0,0,0,0,0,0,0,0,4,60.85623744415566,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,27.650000412017107,163.92006540298462,none
165,165,28,RouteScenario_4_28,Completed,route_28_route0_02_08_20_50_06,0,0,0,0,0,0,0,0,0,4,61.26539929186665,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,70.80000105500221,457.4841728210449,none
166,147,29,RouteScenario_4_29,Completed,route_29_route0_02_08_21_01_26,0,0,0,0,0,0,0,0,0,4,61.58523811688995,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,39.40000058710575,322.2682592868805,none
167,183,3,RouteScenario_4_3,Completed,route_3_route0_02_08_22_39_35,0,0,0,0,0,0,0,0,0,4,55.43311785764707,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,18.200000271201134,121.34423518180849,none
168,167,30,RouteScenario_4_30,Completed,route_30_route0_02_08_21_22_43,0,0,0,0,0,0,0,0,0,4,55.9272196240984,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,24.25000036135316,245.28401708602905,none
169,179,31,RouteScenario_4_31,Completed,route_31_route0_02_08_21_30_13,0,0,0,0,0,0,0,0,0,4,55.61009969298386,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,13.700000204145908,92.3084201812744,none
170,188,32,RouteScenario_4_32,Completed,route_32_route0_02_08_21_33_43,0,0,0,0,0,0,0,0,0,4,55.27290728705631,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,24.600000366568565,146.0483477115631,none
171,162,33,RouteScenario_4_33,Completed,route_33_route0_02_08_21_39_20,0,0,0,0,0,0,0,0,0,4,60.92802203945554,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,42.40000063180924,354.9199090003968,none
172,170,34,RouteScenario_4_34,Completed,route_34_route0_02_08_21_50_51,0,0,0,0,0,0,0,0,0,4,55.2693469423156,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,16.350000243633986,202.88355946540835,none
173,155,35,RouteScenario_4_35,Completed,route_35_route0_02_08_21_57_32,0,0,0,0,0,0,0,0,0,4,60.92792055053716,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,28.45000042393804,230.21615314483645,none
174,153,36,RouteScenario_4_36,Completed,route_36_route0_02_08_22_05_41,0,0,0,0,0,0,0,0,0,4,61.00178018503786,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,26.200000390410423,159.63624572753906,none
175,187,37,RouteScenario_4_37,Completed,route_37_route0_02_08_22_14_02,0,0,0,0,0,0,0,0,0,4,55.34447144880457,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,31.600000470876694,238.95608639717105,none
176,144,38,RouteScenario_4_38,Completed,route_38_route0_02_08_22_24_07,0,0,0,0,0,0,0,0,0,4,61.94757622419835,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,42.85000063851476,326.7962281703949,none
177,180,39,RouteScenario_4_39,Completed,route_39_route0_02_08_22_34_16,0,0,0,0,0,0,0,0,0,4,56.290417613840575,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,24.150000359863043,139.18040204048157,none
178,173,4,RouteScenario_4_4,Completed,route_4_route0_02_08_23_51_33,0,0,0,0,0,0,0,0,0,4,54.75607184336737,vehicle.lincoln.mkz2017,10,100.0,100.0,1.0,120,0,13.450000200420618,102.4042489528656,none
