,Unnamed: 0,route_id,status,basename,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,route_length,total_steps,score_composed,score_penalty,score_route,infraction
142,142,RouteScenario_142,Completed,results_TCP,0,0,0,0,0,0,0,0,0,61.30000091344118,243.3559446334839,69.93839879481226,1225,100.0,1.0,100.0,False
143,143,RouteScenario_143,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,230.05000342801213,930.170816898346,222.93380901648845,4600,80.71025732410207,1.0,80.71025732410207,route_timeout
144,144,RouteScenario_144,Completed,results_TCP,0,0,0,0,0,0,0,0,0,116.30000173300505,464.9984195232392,237.9464389452768,2325,100.0,1.0,100.0,False
145,145,RouteScenario_145,Completed,results_TCP,0,0,0,0,0,0,0,0,0,78.2000011652708,311.5273537635803,200.10978739194945,1563,100.0,1.0,100.0,False
146,146,RouteScenario_146,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,144.05000214651227,633.7347257137299,139.8224897592828,2880,19.57536149277356,1.0,19.57536149277356,route_timeout
147,147,RouteScenario_147,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,146.0500021763146,562.1501405239105,129.7494968599369,2920,43.72083909850479,1.0,43.72083909850479,route_timeout
148,148,RouteScenario_148,Completed,results_TCP,0,0,0,0,0,0,0,0,0,15.900000236928465,62.02676582336426,59.98171397690685,317,100.0,1.0,100.0,False
149,149,RouteScenario_149,Failed,results_TCP,1,0,0,0,0,0,0,0,0,19.80000029504299,78.79589247703552,164.30197183978018,395,9.119803316915869,0.65,14.030466641409026,collisions_layout
150,150,RouteScenario_150,Completed,results_TCP,0,0,0,0,0,0,0,0,0,42.100000627338886,185.33696365356445,85.66889046054116,841,100.0,1.0,100.0,False
151,151,RouteScenario_151,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,148.05000220611691,649.4250273704529,62.57769689198829,2960,98.3301459175778,1.0,98.3301459175778,route_timeout
152,152,RouteScenario_152,Completed,results_TCP,0,0,0,0,0,0,0,0,0,111.75000166520476,386.1027803421021,209.05023799532756,2234,100.0,1.0,100.0,False
