,route_id,status,town,basename,cloudiness,fog_density,fog_distance,fog_falloff,precipitation,precipitation_deposits,sun_altitude_angle,sun_azimuth_angle,wetness,wind_intensity,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,ego_vehicle,ego_vehicle_color,ego_vehicle_number_of_wheels,ego_vehicle_object_type,ego_vehicle_role_name,ego_vehicle_sticky_control,number_of_drivers,number_of_walkers,percentage_speed_limit,route_length,total_steps,score_composed,score_penalty,score_route,ego_vehicle_driver_id,infraction
216,RouteScenario_216,Failed - Agent timed out,Town01,data,15,0,0,0,0,0,-80,0,0,0.349999994039536,0,0,0,1,0,0,1,0,0,229.050003413111,673.175152301788,vehicle.harley-davidson.low_rider,"(221,142,183)",2,,hero,True,131,129,108,211.56213862927,4578,26.5314951300258,0.84194790923761,31.5120387365179,0,route_timeout
217,RouteScenario_217,Failed - Agent timed out,Town01,data,90,0,0,0,0,50,15,0,0,0.349999994039536,0,0,0,0,0,0,1,0,0,114.050001699477,397.140949964523,vehicle.lincoln.mkz2017,"(56,196,199)",4,,hero,True,139,105,81,130.30642004913,2278,76.5651621375174,1,76.5651621375174,,route_timeout
218,RouteScenario_218,Completed,Town01,data,90,0,0,0,0,50,-80,225,0,0.349999994039536,0,0,0,0,0,0,0,0,0,153.800002291799,502.520241737366,vehicle.kawasaki.ninja,"(112,204,159)",2,,hero,True,141,75,79,216.370003106786,3073,100,1,100,0,False
219,RouteScenario_219,Completed,Town01,data,15,0,0,0,0,0,-80,0,0,0.349999994039536,0,0,0,0,0,0,0,0,0,48.6500007249415,179.430335760117,vehicle.audi.a2,"(223,107,195)",4,,hero,True,176,61,101,97.7799995055068,970,100,1,100,,False
220,RouteScenario_220,Failed - Agent timed out,Town01,data,80,0,0,0,0,0,15,270,0,0.349999994039536,0,0,0,0,0,0,1,0,0,173.050002578646,644.862283468247,vehicle.yamaha.yzf,"(139,12,72)",2,,hero,True,159,130,95,153.947210454538,3458,65.7113531842487,1,65.7113531842487,0,route_timeout
221,RouteScenario_221,Completed,Town01,data,80,0,0,0,30,50,15,270,0,0.400000005960465,0,0,0,0,0,0,0,0,0,78.6000011712313,250.902090549469,vehicle.seat.leon,"(173,65,213)",4,,hero,True,111,93,79,119.900140564025,1569,100,1,100,,False
222,RouteScenario_222,Completed,Town01,data,80,0,0,0,0,0,75,45,0,0.349999994039536,0,0,0,0,0,0,0,0,0,183.650002736598,668.011791944504,vehicle.bmw.isetta,"(228,114,219)",4,,hero,True,110,81,85,238.732405517393,3670,100,1,100,,False
223,RouteScenario_223,Failed - Agent timed out,Town01,data,80,0,0,0,30,50,75,0,0,0.400000005960465,0,0,0,0,0,0,1,0,0,235.050003502518,878.773583173752,vehicle.bmw.isetta,"(24,173,96)",4,,hero,True,172,83,60,151.871539752102,4698,71.6399551951886,1,71.6399551951886,,route_timeout
224,RouteScenario_224,Failed,Town01,data,80,0,0,0,0,0,-80,45,0,0.349999994039536,1,0,0,0,0,0,0,0,0,11.9000001773238,37.7854843139648,vehicle.volkswagen.t2,"(217,146,173)",4,,hero,True,143,118,105,247.738424902935,235,2.13445751026338,0.65,3.28378078502059,,collisions_layout
225,RouteScenario_225,Failed,Town01,data,15,0,0,0,0,0,-80,0,0,0.349999994039536,0,0,0,0,1,0,0,0,0,4.15000006183982,14.7036199569702,vehicle.bmw.isetta,"(237,107,188)",4,,hero,True,170,61,109,278.851717914067,80,0,0.7,0,,red_light
226,RouteScenario_226,Completed,Town01,data,20,0,0,0,0,50,-80,225,0,0.349999994039536,0,0,0,0,0,0,0,0,0,152.650002274662,565.656042098999,vehicle.tesla.model3,"(158,194,33)",4,,hero,True,90,114,91,13.0665590923446,3050,100,1,100,,False
227,RouteScenario_227,Completed,Town01,data,20,0,0,0,0,50,-80,225,0,0.349999994039536,0,0,0,0,0,0,0,0,0,69.9500010423362,229.849540948868,vehicle.harley-davidson.low_rider,"(78,238,132)",2,,hero,True,94,113,82,133.651681330554,1396,100,1,100,0,False
228,RouteScenario_228,Completed,Town01,data,90,0,0,0,15,50,15,270,0,0.349999994039536,0,0,0,0,0,0,0,0,0,144.850002158433,491.328052282333,vehicle.mini.cooperst,"(248,32,245)",4,,hero,True,135,84,70,115.965214032807,2894,100,1,100,,False
229,RouteScenario_229,Failed,Town01,data,90,0,0,0,15,50,15,270,0,0.349999994039536,0,0,1,0,0,0,0,0,0,46.8500006981194,140.830848932266,vehicle.bmw.isetta,"(215,20,132)",4,,hero,True,145,100,104,185.93342229435,934,25.0222170641222,0.6,41.7036951068703,,collisions_vehicle
230,RouteScenario_230,Failed - Agent timed out,Town01,data,20,0,0,0,0,50,-80,225,0,0.349999994039536,0,0,0,0,0,0,1,0,0,204.050003040582,671.683133840561,vehicle.chevrolet.impala,"(75,158,50)",4,,hero,True,173,62,95,251.157314248783,4078,86.4387017452259,1,86.4387017452259,,route_timeout
231,RouteScenario_231,Failed - Agent timed out,Town01,data,80,0,0,0,30,50,15,270,0,0.400000005960465,0,0,0,0,0,0,1,0,0,81.0500012077391,322.333562374115,vehicle.audi.tt,"(7,47,204)",4,,hero,True,170,138,66,97.419582260214,1618,82.3174946114268,1,82.3174946114268,,route_timeout
232,RouteScenario_232,Failed - Agent timed out,Town01,data,90,0,0,0,0,50,15,0,0,0.349999994039536,0,0,0,0,0,0,1,0,0,57.0500008501112,200.413211107254,vehicle.diamondback.century,"(46,41,163)",2,,hero,True,192,104,84,54.1076233142699,1138,18.7090129400515,1,18.7090129400515,4,route_timeout
233,RouteScenario_233,Failed - Agent timed out,Town01,data,80,0,0,0,0,0,15,270,0,0.349999994039536,0,0,0,0,0,0,1,0,0,115.050001714379,362.920453548431,vehicle.diamondback.century,"(46,197,162)",2,,hero,True,152,74,68,121.65021018506,2298,0,1,0,4,route_timeout
