,Unnamed: 0,route_id,status,cloudiness,precipitation,precipitation_deposits,wind_intensity,sun_azimuth_angle,sun_altitude_angle,fog_density,fog_distance,fog_falloff,wetness,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,route_length,score_composed,score_penalty,score_route,ego_vehicle,infraction
240,10,RouteScenario_10,Failed - Agent timed out,15,0,0,0.349999994039536,0,15,0,0,0,0,0,0,1,0,0,0,1,0,0,611.050009105355,1498.70913028717,141.42135623731,18.0859819136872,0.6,30.1433031894786,vehicle.lincoln.mkz2017,collisions_vehicle
241,11,RouteScenario_11,Completed,15,0,0,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,181.150002699345,459.974168300629,141.421353539911,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
242,12,RouteScenario_12,Completed,15,0,0,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,356.800005316734,882.764587640762,141.421357586009,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
243,13,RouteScenario_13,Completed,15,0,0,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,365.800005450845,933.132787227631,141.42135488861,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
244,14,RouteScenario_14,Failed - Agent got blocked,15,0,0,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,564.25000840798,1348.11131596565,141.42135488861,98.7220068400174,1.0,98.7220068400174,vehicle.lincoln.mkz2017,False
245,15,RouteScenario_15,Completed,15,0,0,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,137.300002045929,355.386816263199,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
246,16,RouteScenario_16,Completed,15,0,0,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,199.500002972782,488.33330821991,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
247,17,RouteScenario_17,Completed,15,0,0,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,225.200003355741,552.376424312592,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
248,18,RouteScenario_18,Completed,15,0,0,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,260.800003886223,640.09056353569,141.421355900135,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
249,19,RouteScenario_19,Completed,15,0,0,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,341.550005089492,837.211463689804,141.421357586009,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
250,20,RouteScenario_20,Completed,15,0,0,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,304.800004541874,767.825526475906,141.421357586009,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
251,21,RouteScenario_21,Completed,15,0,0,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,218.750003259629,535.821788787842,141.42135488861,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
252,22,RouteScenario_22,Failed - Agent timed out,15,0,0,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,779.05001160875,1995.53972458839,141.421357586009,41.989260033816,1.0,41.989260033816,vehicle.lincoln.mkz2017,False
253,0,RouteScenario_0,Failed - Agent timed out,90,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,431.050006423146,1132.20763874054,141.421350842513,64.579130629479,1.0,64.579130629479,vehicle.lincoln.mkz2017,False
254,1,RouteScenario_1,Completed,90,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,184.650002751499,467.588791131973,141.421356574484,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
255,2,RouteScenario_2,Completed,90,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,186.200002774596,483.378380537033,141.421356574484,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
256,3,RouteScenario_3,Completed,90,0,50,0.349999994039536,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,225.600003361702,564.330428600311,141.421350842513,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
