,route_id,status,town,basename,cloudiness,fog_density,fog_distance,fog_falloff,precipitation,precipitation_deposits,sun_altitude_angle,sun_azimuth_angle,wetness,wind_intensity,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,ego_vehicle,number_of_drivers,number_of_walkers,percentage_speed_limit,route_length,total_steps,score_composed,score_penalty,score_route
46,RouteScenario_46,Failed - Agent timed out,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,0.0,50.0,75.0,180.0,0.0,0.3499999940395355,0,0,0,0,0,0,1,0,0,136.05000202730298,189.9548981189728,vehicle.lincoln.mkz2017,194,65.0,107,165.70690746680884,2718,98.78581024981256,1.0,98.78581024981256
47,RouteScenario_47,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,20.0,0.0,0.0,0.0,0.0,50.0,75.0,45.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,99.95000148937106,126.55707240104675,vehicle.lincoln.mkz2017,80,67.0,97,242.2096374248703,1996,100.0,1.0,100.0
48,RouteScenario_48,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,30.0,50.0,-80.0,225.0,0.0,0.4000000059604645,0,0,0,0,0,0,0,0,0,107.80000160634518,150.01447796821594,vehicle.lincoln.mkz2017,132,120.0,70,243.72050897647105,2153,100.0,1.0,100.0
49,RouteScenario_49,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,60.0,100.0,75.0,90.0,0.0,1.0,0,0,0,0,0,0,0,0,0,137.25000204518437,189.7081549167633,vehicle.lincoln.mkz2017,155,71.0,69,172.47023603808037,2742,100.0,1.0,100.0
50,RouteScenario_50,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,15.0,0.0,0.0,0.0,0.0,0.0,15.0,45.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,92.35000137612224,126.85831260681152,vehicle.lincoln.mkz2017,114,100.0,98,117.5310984930196,1844,100.0,1.0,100.0
51,RouteScenario_51,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,15.0,0.0,0.0,0.0,0.0,0.0,15.0,45.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,66.85000099614263,100.88019919395448,vehicle.lincoln.mkz2017,197,126.0,88,236.0266182942848,1334,100.0,1.0,100.0
52,RouteScenario_52,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,0.0,0.0,15.0,270.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,97.85000145807862,134.0701401233673,vehicle.lincoln.mkz2017,85,135.0,81,91.7189155740634,1954,100.0,1.0,100.0
53,RouteScenario_53,Failed - Agent timed out,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,30.0,50.0,75.0,0.0,0.0,0.4000000059604645,0,0,0,0,0,0,1,0,0,213.0500031746924,306.54513573646545,vehicle.lincoln.mkz2017,152,131.0,105,98.37931889628884,4258,52.18959017409747,1.0,52.18959017409747
54,RouteScenario_54,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,60.0,100.0,-80.0,225.0,0.0,1.0,0,0,0,0,0,0,0,0,0,46.20000068843365,61.28757381439209,vehicle.lincoln.mkz2017,96,122.0,108,97.61171908771536,921,100.0,1.0,100.0
55,RouteScenario_55,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,0.0,0.0,15.0,270.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,127.40000189840794,174.82469272613525,vehicle.lincoln.mkz2017,107,124.0,101,170.68055255753555,2545,100.0,1.0,100.0
56,RouteScenario_56,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,30.0,50.0,-80.0,225.0,0.0,0.4000000059604645,0,0,0,0,0,0,0,0,0,33.5000004991889,41.8250846862793,vehicle.lincoln.mkz2017,109,55.0,96,88.80355356292397,667,100.0,1.0,100.0
57,RouteScenario_57,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,0.0,0.0,-80.0,45.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,151.15000225231051,201.28687739372253,vehicle.lincoln.mkz2017,122,82.0,94,85.49173440828262,3020,100.0,1.0,100.0
58,RouteScenario_58,Failed,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,0.0,0.0,75.0,45.0,0.0,0.3499999940395355,0,0,1,0,0,0,0,0,0,93.30000139027834,137.40147399902344,vehicle.lincoln.mkz2017,197,94.0,59,110.76065795970584,1863,25.453133480901474,0.6,42.421889134835794
59,RouteScenario_59,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,0.0,50.0,-80.0,225.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,100.20000149309637,132.01035261154175,vehicle.lincoln.mkz2017,95,101.0,99,177.8571279682478,2001,100.0,1.0,100.0
60,RouteScenario_60,Failed - Agent timed out,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,0.0,0.0,15.0,270.0,0.0,0.3499999940395355,0,0,0,0,0,0,1,0,0,159.0500023700297,236.1047434806824,vehicle.lincoln.mkz2017,189,153.0,85,62.717139549735016,3178,66.37986093128603,1.0,66.37986093128603
61,RouteScenario_61,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,30.0,50.0,15.0,270.0,0.0,0.4000000059604645,0,0,0,0,0,0,0,0,0,54.65000081434846,73.4426019191742,vehicle.lincoln.mkz2017,98,115.0,55,181.206637504591,1090,100.0,1.0,100.0
62,RouteScenario_62,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,15.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,111.80000166594982,158.61423563957214,vehicle.lincoln.mkz2017,182,122.0,103,192.1228271723634,2233,100.0,1.0,100.0
63,RouteScenario_63,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,0.0,50.0,75.0,180.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,151.95000226423144,203.33877086639404,vehicle.lincoln.mkz2017,95,98.0,56,235.9040388418787,3036,100.0,1.0,100.0
64,RouteScenario_64,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,15.0,50.0,-80.0,270.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,129.80000193417072,175.029860496521,vehicle.lincoln.mkz2017,118,94.0,87,156.17705486881516,2593,100.0,1.0,100.0
65,RouteScenario_65,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,15.0,50.0,75.0,315.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,114.4500017054379,157.06220483779907,vehicle.lincoln.mkz2017,98,116.0,82,203.43585952739693,2286,100.0,1.0,100.0
66,RouteScenario_66,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,0.0,0.0,15.0,270.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,56.80000084638596,76.00500535964966,vehicle.lincoln.mkz2017,130,57.0,89,111.219846834658,1133,100.0,1.0,100.0
67,RouteScenario_67,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,60.0,100.0,-80.0,225.0,0.0,1.0,0,0,0,0,0,0,0,0,0,60.70000090450048,83.05791187286377,vehicle.lincoln.mkz2017,169,115.0,91,234.62130707177892,1211,100.0,1.0,100.0
68,RouteScenario_68,Failed - Agent timed out,Town01,100_250_200_vehicle.lincoln.mkz2017,15.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.3499999940395355,0,0,0,0,0,0,1,0,0,176.05000262334943,244.80339694023127,vehicle.lincoln.mkz2017,157,91.0,59,123.1801075207984,3518,98.60336352789842,1.0,98.60336352789842
69,RouteScenario_69,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,60.0,100.0,-80.0,225.0,0.0,1.0,0,0,0,0,0,0,0,0,0,55.40000082552433,70.86117744445801,vehicle.lincoln.mkz2017,95,73.0,56,50.35727855555831,1105,100.0,1.0,100.0
